Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.0.1-192.168.10.50-57550-21-6,172.16.0.1,57550,192.168.10.50,21,6,4/7/2017 10:00,9150608,9,15,99,188.0,21,0,11.0,8.631338251,34,0,12.53333333,14.54975045,31.36403614,2.622776541,397852.5217,1000706.311,3399590.0,4.0,6270614.0,783826.75,1375038.019,3442451.0,4.0,9150531.0,653609.3571,1230742.149,3399590.0,4.0,0,0,0,0,296,488,0.983541203,1.639235338,0,34,11.48,12.43355675,154.5933333,0,0,0,1,0,0,0,0,1,11.95833333,11.0,12.53333333,296,0,0,0,0,0,0,9,99,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
192.168.10.3-192.168.10.12-53-19027-17,192.168.10.12,19027,192.168.10.3,53,17,4/7/2017 10:00,1042,2,2,72,114.0,36,36,36.0,0.0,57,57,57.0,0.0,178502.8791,3838.771593,347.3333333,596.4028281,1036.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,40,40,1919.385797,1919.385797,36,57,44.4,11.50217371,132.3,0,0,0,0,0,0,0,0,1,55.5,36.0,57.0,40,0,0,0,0,0,0,2,72,2,114,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.5-53-50460-17,192.168.10.5,50460,192.168.10.3,53,17,4/7/2017 10:00,48665,4,2,136,282.0,34,34,34.0,0.0,141,141,141.0,0.0,8589.335251,123.2918936,9733.0,15753.34065,36216.0,3.0,36222.0,12074.0,20907.5853,36216.0,3.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,80,40,82.19459571,41.09729785,34,141,64.57142857,52.2106539,2725.952381,0,0,0,0,0,0,0,0,0,75.33333333,34.0,141.0,80,0,0,0,0,0,0,4,136,2,282,-1,-1,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.5-53-63975-17,192.168.10.5,63975,192.168.10.3,53,17,4/7/2017 10:00,210,2,2,66,386.0,33,33,33.0,0.0,193,193,193.0,0.0,2152380.952,19047.61905,70.0,117.7837001,206.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,64,64,9523.809524,9523.809524,33,193,97.0,87.6356092,7680.0,0,0,0,0,0,0,0,0,1,121.25,33.0,193.0,64,0,0,0,0,0,0,2,66,2,386,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
172.16.0.1-192.168.10.50-57504-21-6,172.16.0.1,57504,192.168.10.50,21,6,4/7/2017 10:00,9170403,9,15,100,188.0,21,0,11.11111111,8.681077762,34,0,12.53333333,14.54975045,31.40538098,2.617115082,398713.1739,1011975.393,3196666.0,3.0,6108012.0,763501.5,1357725.945,3239865.0,285.0,9170349.0,655024.9286,1245919.48,3196666.0,3.0,0,0,0,0,296,488,0.981418156,1.635696926,0,34,11.52,12.44360612,154.8433333,0,0,0,1,0,0,0,0,1,12.0,11.11111111,12.53333333,296,0,0,0,0,0,0,9,100,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1-192.168.10.50-57464-21-6,172.16.0.1,57464,192.168.10.50,21,6,4/7/2017 10:00,8764966,9,15,109,188.0,23,0,12.11111111,9.790868762,34,0,12.53333333,14.54975045,33.88490041,2.73817377,381085.4783,988085.8735,3072230.0,3.0,5979219.0,747402.375,1381162.933,3116607.0,4.0,8764899.0,626064.2143,1219454.26,3072230.0,3.0,0,0,0,0,296,488,1.026815164,1.711358607,0,34,11.88,12.71259218,161.61,0,0,0,1,0,0,0,0,1,12.375,12.11111111,12.53333333,296,0,0,0,0,0,0,9,109,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
192.168.10.1-192.168.10.3-53-61303-17,192.168.10.3,61303,192.168.10.1,53,17,4/7/2017 10:00,49024,1,1,42,105.0,42,42,42.0,0.0,105,105,105.0,0.0,2998.531332,40.79634465,49024.0,0.0,49024.0,49024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,20.39817232,20.39817232,42,105,63.0,36.37306696,1323.0,0,0,0,0,0,0,0,0,1,94.5,42.0,105.0,20,0,0,0,0,0,0,1,42,1,105,-1,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.12-23.194.180.170-50346-443-6,192.168.10.12,50346,23.194.180.170,443,6,4/7/2017 10:00,100063631,18,17,703,3653.0,384,0,39.05555556,100.914916,1711,0,214.8823529,521.2740261,43.53229996,0.349777433,2943047.971,4614385.277,10200000.0,4.0,92100000.0,5419690.529,5238783.389,10200000.0,237.0,100000000.0,6252526.625,5006169.645,10200000.0,4.0,0,0,0,0,584,552,0.179885537,0.169891896,0,1711,121.0,370.5631236,137317.0286,0,0,0,1,0,0,0,0,0,124.4571429,39.05555556,214.8823529,584,0,0,0,0,0,0,18,703,17,3653,29200,972,3,32,44463.0,66879.79926,234806.0,23090.0,9961899.7,725572.0573,10200000.0,7905544.0,BENIGN
172.16.0.1-192.168.10.50-57508-21-6,172.16.0.1,57508,192.168.10.50,21,6,4/7/2017 10:00,214,2,1,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,65420.56075,14018.69159,107.0,35.35533906,132.0,82.0,214.0,214.0,0.0,214.0,214.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,9345.794393,4672.897196,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
192.168.10.1-192.168.10.3-53-61082-17,192.168.10.3,61082,192.168.10.1,53,17,4/7/2017 10:00,70988,1,1,50,153.0,50,50,50.0,0.0,153,153,153.0,0.0,2859.638249,28.17377585,70988.0,0.0,70988.0,70988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,14.08688792,14.08688792,50,153,84.33333333,59.46707773,3536.333333,0,0,0,0,0,0,0,0,1,126.5,50.0,153.0,32,0,0,0,0,0,0,1,50,1,153,-1,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.19-199.59.148.12-58372-443-6,192.168.10.19,58372,199.59.148.12,443,6,4/7/2017 10:00,3967107,5,1,117,41.0,45,0,23.4,21.96132965,41,41,41.0,0.0,39.82751158,1.512437149,793421.4,1725487.246,3879329.0,3.0,3967107.0,991776.75,1925472.868,3879329.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,160,32,1.260364291,0.252072858,0,45,28.42857143,19.88179354,395.2857143,0,1,0,0,1,0,0,0,0,33.16666667,23.4,41.0,160,0,0,0,0,0,0,5,117,1,41,335,126,2,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.5-68.67.178.110-52897-80-6,68.67.178.110,80,192.168.10.5,52897,6,4/7/2017 10:00,78,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25641.02564,78.0,0.0,78.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,12820.51282,12820.51282,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,1,0,52,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.10.3-192.168.10.15-53-54739-17,192.168.10.15,54739,192.168.10.3,53,17,4/7/2017 10:00,24000,2,2,74,198.0,37,37,37.0,0.0,99,99,99.0,0.0,11333.33333,166.6666667,8000.0,13852.07634,23995.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,64,64,83.33333333,83.33333333,37,99,61.8,33.95879857,1153.2,0,0,0,0,0,0,0,0,1,77.25,37.0,99.0,64,0,0,0,0,0,0,2,74,2,198,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
172.16.0.1-192.168.10.50-57584-21-6,172.16.0.1,57584,192.168.10.50,21,6,4/7/2017 10:00,10174228,9,15,114,188.0,35,0,12.66666667,11.54339638,34,0,12.53333333,14.54975045,29.68284178,2.358901334,442357.7391,1115634.306,3632034.0,4.0,6895032.0,861879.0,1514478.194,3679070.0,207.0,10200000.0,726724.0,1372517.851,3632034.0,4.0,0,0,0,0,296,488,0.884588,1.474313334,0,35,12.08,13.20012626,174.2433333,0,0,0,1,0,0,0,0,1,12.58333333,12.66666667,12.53333333,296,0,0,0,0,0,0,9,114,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1-192.168.10.50-57538-21-6,172.16.0.1,57538,192.168.10.50,21,6,4/7/2017 10:00,9229867,9,15,102,188.0,23,0,11.33333333,8.986100378,34,0,12.53333333,14.54975045,31.41973768,2.600254153,401298.5652,1001680.596,3403545.0,1.0,6335058.0,791882.25,1371189.783,3447192.0,3.0,9229805.0,659271.7857,1230809.44,3403545.0,1.0,0,0,0,0,296,488,0.975095307,1.625158846,0,34,11.6,12.51332623,156.5833333,0,0,0,1,0,0,0,0,1,12.08333333,11.33333333,12.53333333,296,0,0,0,0,0,0,9,102,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1-192.168.10.50-57586-21-6,172.16.0.1,57586,192.168.10.50,21,6,4/7/2017 10:00,10150567,9,15,116,188.0,35,0,12.88888889,11.74142713,34,0,12.53333333,14.54975045,29.9490659,2.364399939,441329.0,1115492.227,3624642.0,3.0,6860383.0,857547.875,1512436.346,3672931.0,3.0,10200000.0,725036.2143,1372695.253,3624642.0,4.0,0,0,0,0,296,488,0.886649977,1.477749962,0,35,12.16,13.26235273,175.89,0,0,0,1,0,0,0,0,1,12.66666667,12.88888889,12.53333333,296,0,0,0,0,0,0,9,116,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
192.168.10.3-192.168.10.5-53-49493-17,192.168.10.5,49493,192.168.10.3,53,17,4/7/2017 10:00,23643,2,2,64,256.0,32,32,32.0,0.0,128,128,128.0,0.0,13534.66142,169.1832678,7881.0,13644.23025,23636.0,3.0,4.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,64,40,84.59163389,84.59163389,32,128,70.4,52.58136552,2764.8,0,0,0,0,0,0,0,0,1,88.0,32.0,128.0,64,0,0,0,0,0,0,2,64,2,256,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
172.16.0.1-192.168.10.50-57456-21-6,172.16.0.1,57456,192.168.10.50,21,6,4/7/2017 10:00,3,2,0,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,4666666.667,666666.6667,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,666666.6667,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,64,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1-192.168.10.50-57526-21-6,172.16.0.1,57526,192.168.10.50,21,6,4/7/2017 10:00,1,2,0,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,14000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,2000000.0,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,64,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1-192.168.10.50-57558-21-6,172.16.0.1,57558,192.168.10.50,21,6,4/7/2017 10:00,9572510,9,15,114,188.0,27,0,12.66666667,10.59481005,34,0,12.53333333,14.54975045,31.54867428,2.507179413,416196.087,1041406.309,3324462.0,12.0,6666131.0,833266.375,1445956.019,3365394.0,12.0,9572399.0,683742.7857,1279997.465,3324462.0,48.0,0,0,0,0,296,488,0.94019228,1.566987133,0,34,12.08,12.93225941,167.2433333,0,0,0,1,0,0,0,0,1,12.58333333,12.66666667,12.53333333,296,0,0,0,0,0,0,9,114,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1-192.168.10.50-57540-21-6,172.16.0.1,57540,192.168.10.50,21,6,4/7/2017 10:00,224,2,1,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,62500.0,13392.85714,112.0,120.2081528,197.0,27.0,224.0,224.0,0.0,224.0,224.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,8928.571429,4464.285714,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1-192.168.10.50-57588-21-6,172.16.0.1,57588,192.168.10.50,21,6,4/7/2017 10:00,10186502,9,15,119,188.0,35,0,13.22222222,11.88252685,34,0,12.53333333,14.54975045,30.13792173,2.356059028,442891.3913,1115858.683,3616644.0,3.0,6874398.0,859299.75,1505238.14,3658931.0,49.0,10200000.0,727603.0,1372631.391,3616644.0,3.0,0,0,0,0,296,488,0.883522135,1.472536892,0,35,12.28,13.31202464,177.21,0,0,0,1,0,0,0,0,1,12.79166667,13.22222222,12.53333333,296,0,0,0,0,0,0,9,119,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1-192.168.10.50-57470-21-6,172.16.0.1,57470,192.168.10.50,21,6,4/7/2017 10:00,9397559,9,15,104,188.0,22,0,11.55555556,9.153020145,34,0,12.53333333,14.54975045,31.07189856,2.553854677,408589.5217,1039772.621,3216857.0,3.0,6139478.0,767434.75,1366071.809,3103231.0,3.0,9397470.0,671247.8571,1280531.149,3216857.0,4.0,0,0,0,0,296,488,0.957695504,1.596159173,0,34,11.68,12.55229063,157.56,0,0,0,1,0,0,0,0,1,12.16666667,11.55555556,12.53333333,296,0,0,0,0,0,0,9,104,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1-192.168.10.50-57680-21-6,172.16.0.1,57680,192.168.10.50,21,6,4/7/2017 10:01,8895304,9,15,95,188.0,19,0,10.55555556,8.11035004,34,0,12.53333333,14.54975045,31.81453945,2.698052815,386752.3478,1012533.66,3395728.0,3.0,5964767.0,745595.875,1399965.94,3440108.0,4.0,8895181.0,635370.0714,1250957.871,3395728.0,3.0,0,0,0,0,296,488,1.011769806,1.68628301,0,34,11.32,12.32450134,151.8933333,0,0,0,1,0,0,0,0,1,11.79166667,10.55555556,12.53333333,296,0,0,0,0,0,0,9,95,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
192.168.10.19-66.228.59.187-123-123-17,192.168.10.19,123,66.228.59.187,123,17,4/7/2017 10:01,46006,1,1,48,48.0,48,48,48.0,0.0,48,48,48.0,0.0,2086.684346,43.47259053,46006.0,0.0,46006.0,46006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,20,21.73629527,21.73629527,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,72.0,48.0,48.0,32,0,0,0,0,0,0,1,48,1,48,-1,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
172.16.0.1-192.168.10.50-57596-21-6,172.16.0.1,57596,192.168.10.50,21,6,4/7/2017 10:01,8523539,9,15,105,188.0,28,0,11.66666667,9.772410143,34,0,12.53333333,14.54975045,34.37539266,2.815731822,370588.6522,966917.2287,3121570.0,3.0,5590308.0,698788.5,1305872.212,3163883.0,222.0,8523426.0,608816.1429,1194156.144,3121570.0,3.0,0,0,0,0,296,488,1.055899433,1.759832389,0,34,11.72,12.70669115,161.46,0,0,0,1,0,0,0,0,1,12.20833333,11.66666667,12.53333333,296,0,0,0,0,0,0,9,105,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
192.168.10.15-216.200.232.221-52066-443-6,192.168.10.15,52066,216.200.232.221,443,6,4/7/2017 10:01,109,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,18348.62385,109.0,0.0,109.0,109.0,109.0,109.0,0.0,109.0,109.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,18348.62385,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,256,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
